ID,Block,Set,Choice,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12
46,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0
46,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1
46,6,4,0,0,0,0,0,0,0,0,-1,0,0,0,0
46,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0
46,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0
46,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0
46,6,5,0,0,0,0,0,0,0,-1,0,0,0,0,0
46,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1
46,6,6,0,0,0,0,0,0,0,0,0,0,0,-1,0
46,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0
46,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0
46,6,6,1,0,0,0,0,0,0,0,1,0,0,0,0
66,6,1,0,0,0,0,0,0,0,0,-1,0,0,0,0
66,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
66,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0
66,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
66,6,2,1,0,0,0,0,0,0,1,0,0,0,0,0
66,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0
66,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0
66,6,2,0,0,0,0,0,0,0,0,0,0,-1,0,0
66,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0
66,6,3,0,0,0,0,0,0,0,0,-1,0,0,0,0
66,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0
66,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0
66,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0
66,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1
66,6,4,0,0,0,0,0,0,0,0,-1,0,0,0,0
66,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0
66,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0
66,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0
66,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0
66,6,5,0,0,0,0,0,0,0,0,0,0,0,0,-1
66,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0
66,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0
66,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0
66,6,6,0,0,0,0,0,0,0,0,-1,0,0,0,0
67,7,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
67,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0
67,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0
67,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0
67,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0
67,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0
67,7,2,1,0,1,0,0,0,0,0,0,0,0,0,0
67,7,2,0,0,0,0,0,0,0,-1,0,0,0,0,0
67,7,3,0,0,0,0,0,0,0,0,-1,0,0,0,0
67,7,3,0,0,0,0,0,0,0,0,0,1,0,0,0
67,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0
67,7,3,1,0,1,0,0,0,0,0,0,0,0,0,0
67,7,4,0,0,0,0,0,0,0,0,0,-1,0,0,0
67,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0
67,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0
67,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0
67,7,5,0,0,0,0,0,0,0,0,0,0,0,-1,0
67,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0
67,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0
67,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0
67,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0
67,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0
